PLAYLIST_REF, ID, Current, Learned
1, 2195, T, 2008-11-23
1, 1798, T, 2001-11-24
1, 887, T, 2017-01-07
1, 948, T, 2017-05-28
1, 2414, T, 2017-05-27
1, 1169, T, 2013-11-23
1, 1617, T, 2016-11-10
1, 5317, T, 2020-04-25
1, 184, T, 2009-11-24
1, 701, T, 2008-11-24
1, 3247, T, 2017-07-11
1, 634, T, 2017-01-02
1, 1655, T, 2016-11-24
1, 825, T, 2016-12-15
1, 55, T, 2015-11-19
1, 2794, T, 2020-09-24
1, 2274, T, 2013-11-20
1, 207, T, 2001-11-20
1, 3126, T, 2017-05-26
1, 312, T, 2009-11-23
1, 569, T, 2010-11-23
1, 596, T, 2012-11-24
1, 693, T, 2008-11-24
1, 2503, T, 2004-11-23
1, 808, T, 2002-11-23
1, 844, T, 2004-11-23
1, 2139, T, 2019-07-06
1, 1060, T, 2004-11-23
1, 1140, T, 2018-04-21
1, 4377, T, 2017-05-26
1, 1589, T, 2004-11-24
1, 3893, T, 2012-11-24
1, 5731, T, 2017-07-15
1, 1787, T, 2011-11-24
1, 6465, T, 2021-02-20
1, 1842, T, 2015-05-24
1, 1861, T, 2018-10-11
1, 162, T, 2017-01-01
1, 482, T, 2010-11-24
1, 204, T, 2013-11-20
1, 1676, T, 2004-11-24
1, 2955, T, 2020-09-04
1, 4488, T, 2014-11-24
1, 414, T, 2002-11-24
1, 429, T, 2013-11-24
1, 653, T, 2010-11-23
1, 749, T, 2006-11-24
1, 800, T, 2011-11-24
1, 4509, T, 2018-08-05
1, 1643, T, 2015-11-23
1, 3559, T, 2011-11-24
1, 1377, T, 2018-09-25
1, 1445, T, 2002-11-24
1, 1611, T, 2018-08-19
1, 1435, T, 2012-11-24
1, 1823, T, 2008-11-24
1, 1825, T, 2017-08-12
1, 286, T, 2015-11-24
1, 338, T, 2002-11-24
1, 1852, T, 2014-12-03
1, 564, T, 2006-11-23
1, 710, T, 2006-11-23
1, 6813, T, 2017-07-15
1, 1124, T, 2006-11-23
1, 1322, T, 2010-11-24
1, 2296, T, 2015-11-24
1, 1361, T, 2002-11-24
1, 1585, T, 2010-11-24
1, 1734, T, 2014-11-24
1, 1890, T, 2015-05-24
