ID, NotePrivate, NotePublic, Tags
2195, 2017-05-28: With keyboard beat as traditional slow waltz; style 89; tempo 110.  Working with Maurice youtube... note especially transitions at 0:40 and 2:35., https://www.youtube.com/watch?v=_gbS4Og008g, 
1798, I have a nice shannon flute lesson of this; could/should work up a really nice version to play., , 
887, https://www.youtube.com/watch?v=oFBXUpFXmTI  2017-05-10: Note EAGED in Stephen Duck's version instead of ED#D per Healy., Foinn Seisiún 3 in A; Skip Healy in G; and why not in D?, pset_sept_30_2020
948, 1st in set learned from Connie, https://www.youtube.com/watch?v=0XVeYobHh4g, wnceili
2414, 2nd in set learned from Connie  https://www.youtube.com/watch?v=pxrEMV965Ys, , wnceili
1169, Trying to not be too heavy; add some sweetness.  Use glottals to punctuate G roll; cut; glottal.  But maybe experiment with something a bit simpler for the similar sequence at B?, , wnceili
1617, Per Paul McGrattan.  Try also in A per Murdo's Reel (T. McCabe)/The Primrose Lass (Three Men And a Box), , pset_sept_30_2020
5317, Robin sent recording, , 
184, Pickup is AG then EAAB CBC etc., https://www.youtube.com/watch?v=zf6maoJTkB8, wnceili
701, , , wnceili
3247, , Learned on Harmonica from Don Mead, 
634, 2021-01-07: Note Carberry measure-and-half ends on c-nat     2017-05-14: Worked on making those long f-nats into fef.  2017-06-06: Kilcooley Woods and The first of May; this tune played in A: EAAC-nat - dCdef efgfe Cd fed AABA.  Begins 2:02, Angelina Carberry & Martin Quinn - The First Of May / The Blackbird; transposed halfstep up., 
1655, , https://www.youtube.com/watch?v=qRg8w3dBpng, 
825, NOT "By the Old Fairy Fort"!!!  https://www.youtube.com/watch?v=k-Les2BD-uQ  2017-06-06: those e-cuts!, , learn
55, , , 
2794, Follows Honeysuckle on Willie Kelly & Mike Rafferty With Donal Clancy - The Honeysuckle / Pound Hill, , 
2274, , , wnceili
207, , , 
3126, Her Lovely Hair Was Curling Down  2017-06-04: https://www.youtube.com/watch?v=pl7QGQTEk_k, Jimmy puts this with the Peacocks Feather #2 (and leading with the Wicklow), 
312, , , wnceili
569, Learned from Nathan, , hp; wnceili
596, , , hp; wnceili
693, Need to bring this back, , 
2503, Practice both in D and in G, , pset_oct7_2020
808, , , 
844, , , 
2139, , John Creaven - The Honeysuckle/Stack Of Barley - tune down half-step to D, group3
1060, , , 
1140, With the Red Haired Boy, , hp; wnceili
4377, 2017-06-01: worked on the third setting in https://thesession.org/tunes/665, https://www.youtube.com/watch?v=juu9qsMiU58, 
1589, , , wnceili
3893, , , wnceili
5731, , Stand in for Tribute to Francis Quinn; taught to me by Larry Nugent at Catskills Irish Arts Week; 2017., 
1787, Was a little rough on the end of the B part; where it jumps back up to the high g after the triplets.  Did phrase-repeats., , hp; wnceili
6465, https://www.scotslanguage.com/articles/node/id/481, , 
1842, Do piper things at start of A part!, Try Makem's version: https://www.youtube.com/watch?v=Zzrc05ABGNk .  Also Tim Britton - The Stranger Hornpipe/The Golden Slipper - Irish Music In America_ The East Coast/06, wnceili
1861, Belfast Hornpipe  real first learned: 2016-11-24, , relearn
162, 2017-05-29: I got confused in the A part.. F then G., Angelina Carberry & Martin Quinn - The First Of May / The Blackbird, 
482, 2017-06-06 22: Remember B part:  f-roll d e CA FG  ggfg fg *f-roll* bag *e* Cd CAFG, Jimmy goes from this into By the Old Fairy Fort (her golden hair down her back) and then peacock's feather #2, pset_sept_30_2020
204, , https://www.youtube.com/watch?v=9ASWueP94ok, pset_oct7_2020
1676, , , wnceili
2955, O'Brien's/The Rambles Of Joe Burke; Rafferty, , 
4488, Don't to the roll/cut quite so often; maybe not at all the first round?  2017-05-28: Josh Dukes: https://www.youtube.com/watch?v=J3rEWh6KAgA, , NYEve2016; wnceili
414, , , 
429, https://www.youtube.com/watch?v=k5L2EL9TXKs, , 
653, , , wnceili
749, , , 
800, Per Danny, , wnceili
4509, , Evil tune, hp; wnceili
1643, Learned from Connie with the Stranger, Mike & Mary Rafferty - O'Brien's/The Rambles Of Joe Burke (2nd tune), wnceili
3559, Per Nathan, , hp; wnceili
1377, , , 
1445, , , 
1611, , https://www.youtube.com/watch?v=TEjaeXmOrzk also https://www.youtube.com/watch?v=v5qIA5dppkk, hp; wnceili
1435, The Rover through the Bog per Danny, Rover through the Bog/The Echo; Old Bay Ceili Band; Crabs in the Skillet, wnceili
