ID, Type, Structure, Title, Mode, Incipit
2195, Air, , If Ever You Were Mine, , 
1798, Air, AABB, South Wind, G Major, |B3A G2|B3c d2|
887, BDnce, AABB, If There Weren't Any Women in the World, D Major, |ABAF DEED|B;B;B;2 A;2DE|
948, BDnce, AABB, Jimmy Duffy's, G Major, |BGDG B2B2|BAGB d2d2|
2414, BDnce, AAB, Jimmy Duffy's, G Major, |b2ba gage|dBGA B2B2|
1169, BDnce, AABB, Lucy Farr's, G Major, |G2G2 G2G2|GABG E2D2|
1617, Fling, AB, Primrose Lass, G Major, |B2BA GAGE|DEGA BAA2|
5317, Fling, AABB, Stack of Rye, G Major, |c2ec BddB|ABAG E2ED|
184, Hpipe, AABB, Humours of Tullycrine, A Dorian, |c2AB c3d|eaag (3egedB|
701, Hpipe, AABB, Poll Ha'penny, A Dorian, |cAAG A2G/G/A|d^cAF G2(3B^cd|
3247, Hpipe, AABB, Tuamgraney Castle, A Dorian, |AGAB AGEG|AGAB cBcd|
634, Hpipe, AABB, First of May, A Mixolydian, |EAA^G ABcA|dcdf egfa|
1655, Hpipe, AABB, Red-Haired Boy, A Mixolydian, |EAAA ABcd|efec dd(3ccd|
825, Hpipe, AABB, Her Golden Hair Hanging Down Her Back, C Major, |edce d2cA|GE~E2 GAcd|
55, Hpipe, AABB, Alexander's, D Major, |dAFA DFAd|fdcd Adef|
2794, Hpipe, AABB, Back of the Haggard, D Major, |dcdf ecA2|dBGB AFD2|
2274, Hpipe, AABB, Blackbird, D Major, |FEFA GFDc|defd dcAF|
207, Hpipe, AABB, Boys of Bluehill, D Major, |BAFA D2FA|BA(3Bcd e2de|
3126, Hpipe, AABB, By the Old Fairy Fort, D Major, |dfed BAFA|dfed B2de|
312, Hpipe, AABB, Chief O'Neill's Favorite, D Major, |fefg afge|fdec dcAG|
569, Hpipe, AABB, Echo, D Major, |dAFA DAFA|df(3edc dcBc|
596, Hpipe, AABB, Fairy Queen, D Major, |df(3edc dBAG|(3FEDFA dAFA|
693, Hpipe, AABB, Galway Hornpipe, D Major, |D2FA dAFD|CDEF GECE|
2503, Hpipe, AABB, Greencastle Hornpipe, D Major, |FDED FDED|dzcd BdAG|
808, Hpipe, AABB, Harvest Home, D Major, |D2FA D2FA|dfec dcBz|
844, Hpipe, AABB, Home Ruler, D Major, |D2FA D2FA|dfed B2Bd|
2139, Hpipe, AABB, Honeysuckle, D Major, |d2cA (3BcdAF|DFAF GBAG|
1060, Hpipe, AABB, Kitty's Wedding, D Major, |d2Bd A2FA|BAFA D2ED|
1140, Hpipe, AABB, Liverpool Hornpipe, D Major, |(3FED(3FED dfaf|gece dcBA|
4377, Hpipe, AABB, Peacock's Feather, D Major, |FEED ~A2AB|defd ~B2ef|
1589, Hpipe, AABB, Plains of Boyle, D Major, |AFDE FEDF|(3ABAGB AFD2|
3893, Hpipe, AABB, Pleasures of Hope, D Major, |dAFA BGEG|(3FEDFA dcBA|
5731, Hpipe, AABB, Quinn of Armagh, D Major, |DFAd EAce|d2e/f/g fdBd|
1787, Hpipe, AABB, Smoky Chimney, D Major, |dcde fdAF|GFGA BGE2|
6465, Hpipe, AABB, Soldier's Joy, D Major, |AFDF AFDF|A2d2 d2c=c|
1842, Hpipe, AABB, Stranger, D Major, |B2(3BAG A2(3ABc|(3dcA(3AGF G2(3EFG|
1861, Hpipe, AABBCC, Sweep's Hornpipe, D Major, |(3faf(3dfd (3AdA(3FAF|DFAd ~f2ef|
162, Hpipe, AABB, Blackbird, D Mixolydian, |BdcB A2B^c|d2AG F2DE|
482, Hpipe, AABB, Wicklow Hornpipe, D Mixolydian, |ABAF DEFG|AGAB c2(3AB^c|
204, Hpipe, AABB, Boys of Ballycastle, E Minor, |gfed edBd|edeg B2BA|
1676, Hpipe, AABB, Rights of Man, E Minor, |(3BcB(3ABA (3GAG(3FGF|EFGA B2ef|
2955, Hpipe, AABB, Shrove Tuesday, F Major, |~F2EG FGAc|fz=Bc dcAG|
4488, Hpipe, AABB, Bantry Bay, G Major, |BGAG EGDE|G2GF GAAG|
414, Hpipe, AABB, Cronin's Hornpipe, G Major, |GABd dBde|g2ge dega|
429, Hpipe, AABBCC, Cuckoo's Nest, G Major, |B2BA GBdg|fdcB cded|
653, Hpipe, AABB, Flowing Tide, G Major, |G3B dGBd|GBdg bgag|
749, Hpipe, AABB, Good-Natured Man, G Major, |~g2bg d2gd|BcdB G2AB|
800, Hpipe, , Hangman's Rope, G Major, |G2BG DGBd|g2fg d2de|
4509, Hpipe, AABB, Harp and Shamrock, G Major, |edBc dBGB|AGEF GABd|
1643, Hpipe, AABB, Madam If You Please, G Major, |DGGD GGFD|GBde fd(3efg|
3559, Hpipe, AABB, Munster Grass, G Major, |G;B;DG ~B2cB|cAFA G2E/F/G|
1377, Hpipe, AABB, Murphy's Hornpipe, G Major, |GABG EFGE|ABcA FGAF|
1445, Hpipe, AABB, Off to California, G Major, |(3GGFGA AGEF|GABd ez(3def|
1611, Hpipe, AABB, Pretty Maggie Morrissey, G Major, |dcBd cBAF|GBAF GABc|
1435, Hpipe, AABB, Raven through the Bog, G Major, |GABG AB{c}A|defa gfdc|
1823, Hpipe, AABB, Stack of Barley, G Major, |efed BcdB|A^GAG AcBA|
1825, Hpipe, AABB, Stack of Wheat, G Major, |GEDE GABG|(3AcAGA (3Bcdef|
286, JigD, AABB, Castle Jig, A Dorian, |cBA BAG|AGE DB;G;|
338, JigD, AABB, Cliffs of Moher, A Dorian, |a3 bag|eaf ged|
1852, JigD, AABB, Dancingmaster, A Dorian, |ccA eAA|cAA e2A|
564, JigD, AABBCC, Dusty Windowsills, A Dorian, |A<AB cBA|eAB cBA|
710, JigD, AABB, Geese in the Bog, A Dorian, |cEE GEE|cEE G2B|
6813, JigD, AABB, John Dwyer's, A Dorian, |EEE AGA|EGE c2d|
1124, JigD, AABB, Lilting Banshee, A Dorian, |EAA EAA|~B3 G2A|
1322, JigD, AABB, Mist-Covered Mountain, A Dorian, |EAA ABd|eAA AGE|
2296, JigD, AABB, Nightingale, A Dorian, |EAA A2B|cAB cAG|
1361, JigD, AABB, Paddy in London, A Dorian, |eAA fAA|gfg age|
1585, JigD, AABBCC, Pipe on the Hob, A Dorian, |c3 edc|edc BAG|
1734, JigD, AABB, Scully Casey's, A Dorian, |Bcc BAG|EAA EAA|
1890, JigD, AABB, Three Little Drummers, A Dorian, |eAA eAA|BAB GAB|
1920, JigD, AABB, Tom Billy's, A Dorian, |ABA ABd|edB G2B|
